Channel Title,No of Subscribers,Business Email,Views/100 Videos,Likes/100 Videos,Comments/100 Videos,Shares/100 Videos,Facebook URL,Instagram URL,Twitter URL
freekickerz,6622092,,189574038,3653088,286045,0,['https://www.facebook.com/freekickerz'],,
Microsoft Power BI,91567,,1175386,10232,614,0,['https://www.facebook.com/microsoftbi'],,['https://twitter.com/mspowerbi']
ExcelIsFun,471652,,1031777,25821,6149,0,,,['https://twitter.com/excelisfun']
The Dime Drop,25952,,1919286,41508,7180,0,,,
Bano & Binai,22823,,933708,51974,10252,0,,"['https://www.instagram.com/binaikurdos/', 'https://www.instagram.com/banokurdos/']",
Caitlyn Kreklewich,32811,,318209,11866,22158,0,"['https://www.facebook.com/ValcosEDM', 'https://m.facebook.com/CaitlynKMakeup/']",['https://instagram.com/ckreklewich/'],"['https://twitter.com/OfficialValcos', 'https://twitter.com/CKreklewich']"
freekickerz,6622110,,189576413,3653166,286047,0,"['https://www.facebook.com/freekickerz', 'http://facebook.com/freekickerz']","['http://instagram.com/teamfk', 'http://instagram.com/team']",['http://twitter.com/freekickerz']
Microsoft Power BI,91567,,1175403,10232,614,0,['https://www.facebook.com/microsoftbi'],,['https://twitter.com/mspowerbi']
ExcelIsFun,471652,,1031796,25821,6149,0,,,['https://twitter.com/excelisfun']
The Dime Drop,25956,,1919458,41510,7182,0,,,
Bano & Binai,22827,,933806,51976,10252,0,,"['https://www.instagram.com/banokurdos/', 'https://www.instagram.com/binaikurdos/']",
Caitlyn Kreklewich,32811,,318211,11866,22158,0,"['https://www.facebook.com/ValcosEDM', 'https://m.facebook.com/CaitlynKMakeup/']",['https://instagram.com/ckreklewich/'],"['https://twitter.com/OfficialValcos', 'https://twitter.com/CKreklewich']"
ScrewAttack,3934538,,34044667,950827,394308,0,['http://www.facebook.com/ScrewAttack'],['http://instagram.com/officialscrewattack/'],"['https://twitter.com/benbsinger', 'https://twitter.com/CraigSkitz', 'https://twitter.com/ShaunBolen', 'https://twitter.com/ScrewAttackChad', 'https://twitter.com/THENervousNick', 'https://twitter.com/ScrewAttack', 'https://twitter.com/ScrewAttackSam']"
FaZe Adapt,4883975,,81007780,4519557,348998,0,,"['https://www.instagram.com/THEFAZEADAPT/', 'https://www.instagram.com/p/BjxoqiIjTEc/?taken-by=thefazeadapt', 'https://www.instagram.com/thefazeadapt/', 'http://instagram.com/TheFaZeAdapt']","['http://twitter.com/FaZeAdapt', 'https://twitter.com/FaZeAdapt', 'https://www.twitter.com/TeaWap']"
The Film Theorists,6519082,,456639185,11736610,2309807,0,['https://www.facebook.com/GameTheorists'],['https://instagram.com/matpatgt/'],['https://www.twitter.com/matpatgt/']
DanTDM,19390570,,229921948,4473825,1653115,0,['http://www.facebook.com/TheDiamondMinecart'],['http://www.instagram.com/dantdm'],['http://www.twitter.com/dantdm']
